id,rank,rankUpDown,title,fullTitle,year,image,crew,imDbRating,imDbRatingCount
tt5537002,11,-2,Killers of the Flower Moon,Killers of the Flower Moon (2023),2023,https://m.media-amazon.com/images/M/MV5BMjE4ZTZlNDAtM2Q3YS00YjFhLThjN2UtODg2ZGNlN2E2MWU2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Martin Scorsese (director), Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons",8,98662
tt14362112,12,+17,Trolls Band Together,Trolls Band Together (2023),2023,https://m.media-amazon.com/images/M/MV5BMTY4MDk2YWUtNWY1My00YjAxLWI4ZGQtMmRhN2FiNDI4NDRjXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Walt Dohrn (director), Tim Heitz (director), Anna Kendrick, Justin Timberlake, Kenan Thompson, Walt Dohrn",6,5592
tt4589218,13,-7,Five Nights at Freddy's,Five Nights at Freddy's (2023),2023,https://m.media-amazon.com/images/M/MV5BYTI0ZmI4NDItZGFlZC00M2E4LWIyZWEtMTFhMjQwYmU4MGNlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Emma Tammi (director), Josh Hutcherson, Piper Rubio, Elizabeth Lail, Matthew Lillard",5.5,74332
tt9362930,14,+25,Blue Beetle,Blue Beetle (2023),2023,https://m.media-amazon.com/images/M/MV5BMmY1ODUzZGItNDllOS00MDBhLTg4NmUtYjU4YjUxMGNlYmMwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.6763_AL_.jpg,"Angel Manuel Soto (director), Xolo Maridueña, Bruna Marquezine, Becky G, Damián Alcázar",6,73166
tt1392170,15,+6,The Hunger Games,The Hunger Games (2012),2012,https://m.media-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_Ratio0.6763_AL_.jpg,"Gary Ross (director), Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci",7.2,976642
tt11057302,16,-11,Madame Web,Madame Web (2024),2024,https://m.media-amazon.com/images/M/MV5BMTZjOGE2ODktY2EyZS00NDk3LWExYTYtZWNkNDc0NjJkMTU3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6763_AL_.jpg,"S.J. Clarkson (director), Sydney Sweeney, Isabela Merced, Dakota Johnson, Emma Roberts",,0
tt22687790,17,-2,A Haunting in Venice,A Haunting in Venice (2023),2023,https://m.media-amazon.com/images/M/MV5BYmI4MzE2YjQtYWMxYi00MjBhLThhOTYtYjdiOGQ4NzE4MWViXkEyXkFqcGdeQXVyMzUwNDIxMjQ@._V1_Ratio0.7923_AL_.jpg,"Kenneth Branagh (director), Kenneth Branagh, Michelle Yeoh, Jamie Dornan, Tina Fey",6.5,74494
tt18411490,18,-14,Tiger 3,Tiger 3 (2023),2023,https://m.media-amazon.com/images/M/MV5BYzQwMGZlYTUtODUwNi00ZjQxLWEzODAtZGU3Zjc0MmNhMzhkXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_Ratio0.7536_AL_.jpg,"Maneesh Sharma (director), Salman Khan, Katrina Kaif, Emraan Hashmi, Simran",7.4,41971
tt14849194,19,-2,The Holdovers,The Holdovers (2023),2023,https://m.media-amazon.com/images/M/MV5BNDc2MzNkMjMtZDY5NC00NmQ0LWI1NjctZjRhNWIzZjc4MGRiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_Ratio0.6763_AL_.jpg,"Alexander Payne (director), Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston",8.2,12346
tt1517268,20,-1,Barbie,Barbie (2023),2023,https://m.media-amazon.com/images/M/MV5BNjU3N2QxNzYtMjk1NC00MTc4LTk1NTQtMmUxNTljM2I0NDA5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.6763_AL_.jpg,"Greta Gerwig (director), Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon",7,395785
tt26047818,21,+9,Anyone But You,Anyone But You (2023),2023,https://m.media-amazon.com/images/M/MV5BYmQ2MmY2MmYtMjUzOS00Y2MyLWE4YmQtYzIzYWQ4OTdmMGU0XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Will Gluck (director), Sydney Sweeney, Glen Powell, Alexandra Shipp, Darren Barnet",,0
tt21335356,22,+45,Please Don't Destroy: The Treasure of Foggy Mountain,Please Don't Destroy: The Treasure of Foggy Mountain (2023),2023,https://m.media-amazon.com/images/M/MV5BODY0NDE2NTAtNWQ0Zi00NWRmLTljZjktM2JkZmRjMWNlMmEyXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6763_AL_.jpg,"Paul Briganti (director), Martin Herlihy, John Higgins, Ben Marshall, Conan O'Brien",6.1,3453
tt7038762,23,+35,Best. Christmas. Ever!,Best. Christmas. Ever! (2023),2023,https://m.media-amazon.com/images/M/MV5BNWQyMzU1NGUtYjU3Ny00MTVkLTllY2YtNDBjZTIxZjg1NmMyXkEyXkFqcGdeQXVyODA4MzkyNjM@._V1_Ratio0.6860_AL_.jpg,"Mary Lambert (director), Heather Graham, Brandy Norwood, Jason Biggs, Matt Cedeño",4.4,5866
tt0446029,24,+50,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World (2010),2010,https://m.media-amazon.com/images/M/MV5BNWI5ODc4MTAtN2U2NC00ZDk3LWE3NjAtNjIyODE2YTlhYjYwXkEyXkFqcGdeQXVyOTA3ODI3NDA@._V1_Ratio0.7150_AL_.jpg,"Edgar Wright (director), Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Anna Kendrick",7.5,455961
tt8002382,25,+62,The Marsh King's Daughter,The Marsh King's Daughter (2023),2023,https://m.media-amazon.com/images/M/MV5BNzdjNzY1OTctMWIxMS00NzA3LWExNWQtOWEyM2Q2MWRlOGFmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_Ratio0.6763_AL_.jpg,"Neil Burger (director), Daisy Ridley, Ben Mendelsohn, Brooklynn Prince, Gil Birmingham",5.9,3712
tt15671028,26,-8,No Hard Feelings,No Hard Feelings (2023),2023,https://m.media-amazon.com/images/M/MV5BMjg3N2M3OWUtZGQ3NC00OGI1LTllZDUtMTdiYWQxMTk0YTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6763_AL_.jpg,"Gene Stupnitsky (director), Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti, Matthew Broderick",6.4,112526
tt9663764,27,+90,Aquaman and the Lost Kingdom,Aquaman and the Lost Kingdom (2023),2023,https://m.media-amazon.com/images/M/MV5BMTkxM2FiYjctYjliYy00NjY2LWFmOTEtMWZiYWRjNjA4MGYxXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"James Wan (director), Jason Momoa, Ben Affleck, Patrick Wilson, Yahya Abdul-Mateen II",,0
tt6166392,28,+16,Wonka,Wonka (2023),2023,https://m.media-amazon.com/images/M/MV5BNDM4NTk0NjktZDJhMi00MmFmLTliMzEtN2RkZDY2OTNiMDgzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.8019_AL_.jpg,"Paul King (director), Timothée Chalamet, Olivia Colman, Hugh Grant, Paterson Joseph",,0
tt15654328,29,+12,Leo,Leo (2023),2023,https://m.media-amazon.com/images/M/MV5BMDk0ZmVmMTktOGNiNS00Yzg5LWIzZTAtNjUxZWZhZDljY2Y0XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_Ratio0.6763_AL_.jpg,"Lokesh Kanagaraj (director), Joseph Vijay, Trisha Krishnan, Kamal Haasan, Sanjay Dutt",7.4,46540
tt0097958,30,+34,National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation (1989),1989,https://m.media-amazon.com/images/M/MV5BMGZkMWQ2MzMtYTkxYS00OThmLWI0ZTQtNmY0ZTkyY2E4MjliXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6763_AL_.jpg,"Jeremiah S. Chechik (director), Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki",7.5,208972
tt0093748,31,+388,"Planes, Trains & Automobiles","Planes, Trains & Automobiles (1987)",1987,https://m.media-amazon.com/images/M/MV5BNWRjZmFlMDAtZjljYy00YjUwLTgyMDQtMTI5ZjhiZTNkNDNhXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_Ratio0.6763_AL_.jpg,"John Hughes (director), Steve Martin, John Candy, Laila Robins, Michael McKean",7.6,156127
tt9603212,32,-8,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One (2023),2023,https://m.media-amazon.com/images/M/MV5BYzFiZjc1YzctMDY3Zi00NGE5LTlmNWEtN2Q3OWFjYjY1NGM2XkEyXkFqcGdeQXVyMTUyMTUzNjQ0._V1_Ratio0.6860_AL_.jpg,"Christopher McQuarrie (director), Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg",7.8,195290
tt9362722,33,-13,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse (2023),2023,https://m.media-amazon.com/images/M/MV5BMzI0NmVkMjEtYmY4MS00ZDMxLTlkZmEtMzU4MDQxYTMzMjU2XkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_Ratio0.6763_AL_.jpg,"Joaquim Dos Santos (director), Kemp Powers (director), Justin K. Thompson (director), Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez",8.7,305616
tt25289836,34,+706,Good Burger 2,Good Burger 2 (2023),2023,https://m.media-amazon.com/images/M/MV5BM2FhZTAxNDUtZGMwMS00MmI1LTg1Y2UtZTIwMmIzNjM0YzZiXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_Ratio0.6763_AL_.jpg,"Phil Traill (director), Kel Mitchell, Pete Davidson, Kenan Thompson, Sofia Black-D'Elia",5.5,1876
tt0319343,35,+53,Elf,Elf (2003),2003,https://m.media-amazon.com/images/M/MV5BMzUxNzkzMzQtYjIxZC00NzU0LThkYTQtZjNhNTljMTA1MDA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.6763_AL_.jpg,"Jon Favreau (director), Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel",7.1,295006
tt24429218,36,+1437,Genie,Genie (2023),2023,https://m.media-amazon.com/images/M/MV5BZTJiMGEyZTctYjJjNS00ZWVkLTlmYmEtZDM3YjRhMGFiMTQ5XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Sam Boyd (director), Melissa McCarthy, Paapa Essiedu, Denée Benton, Jordyn McIntosh",5.9,3346
tt0099785,37,+24,Home Alone,Home Alone (1990),1990,https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.6763_AL_.jpg,"Chris Columbus (director), Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard",7.7,621106
tt13560574,38,-2,X,X (2022),2022,https://m.media-amazon.com/images/M/MV5BMTJiMmE5YWItOWZjYS00YTg0LWE0MTYtMzg2ZTY4YjNkNDEzXkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_Ratio0.8019_AL_.jpg,"Ti West (director), Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi",6.5,154825
tt1951264,39,+15,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire (2013),2013,https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_Ratio0.6763_AL_.jpg,"Francis Lawrence (director), Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman",7.5,703702
tt14230458,40,-6,Poor Things,Poor Things (2023),2023,https://m.media-amazon.com/images/M/MV5BNGIyYWMzNjktNDE3MC00YWQyLWEyMmEtN2ZmNzZhZDk3NGJlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Yorgos Lanthimos (director), Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef",8.5,3705
tt0314331,41,+42,Love Actually,Love Actually (2003),2003,https://m.media-amazon.com/images/M/MV5BNThkNjgxNGQtOTIxMy00ZTFmLWIwMDItYzE5YzM3ZDMzNDE3XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_Ratio0.7053_AL_.jpg,"Richard Curtis (director), Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney",7.6,511471
tt21942866,42,-5,Dream Scenario,Dream Scenario (2023),2023,https://m.media-amazon.com/images/M/MV5BZDI4MjI1YmYtYzg1Ny00MWQzLWIwNTgtNmFkMWNhYTYzYjdkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Kristoffer Borgli (director), Lily Bird, Nicolas Cage, Julianne Nicholson, Jessica Clement",7.4,5135
tt22041854,43,-18,Priscilla,Priscilla (2023),2023,https://m.media-amazon.com/images/M/MV5BOTQyZTBiMjAtZTNjZi00ZjU0LWFkMTQtMDE3Nzc1MjVmMTM4XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_Ratio0.6763_AL_.jpg,"Sofia Coppola (director), Cailee Spaeny, Jacob Elordi, Ari Cohen, Dagmara Dominczyk",7,5875
tt10767052,44,+7,Next Goal Wins,Next Goal Wins (2023),2023,https://m.media-amazon.com/images/M/MV5BNDIwNWQwYTktZGQwYS00NzNjLThhNDMtODBlYmI5N2E0NjM0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6763_AL_.jpg,"Taika Waititi (director), Michael Fassbender, Oscar Kightley, Kaimana, David Fane",6.5,2584
tt5302918,45,-22,Nyad,Nyad (2023),2023,https://m.media-amazon.com/images/M/MV5BNWJhMzVmN2QtODg0ZS00ODk1LWExNDItZjIyMTczYmUzNjY1XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_Ratio0.6763_AL_.jpg,"Jimmy Chin (director), Elizabeth Chai Vasarhelyi (director), Annette Bening, Jodie Foster, Anne Marie Kempf, Carolyn McCormick",7.1,11700
tt13651794,46,+11,May December,May December (2023),2023,https://m.media-amazon.com/images/M/MV5BMTc1ODM5YjQtMmQzNS00Y2FkLWJhNTgtYTE5ZDY0NjQyNmRjXkEyXkFqcGdeQXVyMTY3ODE5NTY1._V1_Ratio0.8019_AL_.jpg,"Todd Haynes (director), Natalie Portman, Chris Tenzis, Charles Melton, Julianne Moore",7.2,6679
tt15257160,47,-25,Pain Hustlers,Pain Hustlers (2023),2023,https://m.media-amazon.com/images/M/MV5BNWMxYjNhZmEtNDBjZi00ZjFmLWJlZDMtYTVlYjljMmNkZWFhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.6763_AL_.jpg,"David Yates (director), Emily Blunt, Chris Evans, Catherine O'Hara, Chloe Coleman",6.5,29662
tt23289160,48,-1,Godzilla Minus One,Godzilla Minus One (2023),2023,https://m.media-amazon.com/images/M/MV5BYTZkNWQyMDEtMmRhNi00Nzc5LWFhNjQtMWRiOTllYmEzOWE5XkEyXkFqcGdeQXVyMTMwNzYxMTUx._V1_Ratio0.7053_AL_.jpg,"Takashi Yamazaki (director), Minami Hamabe, Sakura Ando, Ryunosuke Kamiki, Yuki Yamada",8.5,5144
tt5535276,49,+74,Maestro,Maestro (2023),2023,https://m.media-amazon.com/images/M/MV5BOGI2MzQ1NzQtMmVkOC00ZGI0LWI3YjQtN2FjMzQ1NmRhNzFhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.6763_AL_.jpg,"Bradley Cooper (director), Carey Mulligan, Bradley Cooper, Matt Bomer, Vincenzo Amato",7.2,1419
tt18394190,50,-18,Old Dads,Old Dads (2023),2023,https://m.media-amazon.com/images/M/MV5BZGYxYTVmMGItODQ4YS00NDZmLTg3ZjUtNjZiMzhlM2NmZjhhXkEyXkFqcGdeQXVyOTQ5Nzg2MTU@._V1_Ratio0.6763_AL_.jpg,"Bill Burr (director), Bill Burr, Bobby Cannavale, Bokeem Woodbine, Katie Aselton",6.2,31737
tt17024450,51,-2,The Equalizer 3,The Equalizer 3 (2023),2023,https://m.media-amazon.com/images/M/MV5BODdiMzM2YjctZmU3ZS00MzUwLWJiYTMtMmI2NzIyMTQyOTQ1XkEyXkFqcGdeQXVyODY5NzkyMjA@._V1_Ratio0.8019_AL_.jpg,"Antoine Fuqua (director), Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman",6.9,72551
tt15354916,52,-24,Jawan,Jawan (2023),2023,https://m.media-amazon.com/images/M/MV5BOWI5NmU3NTUtOTZiMS00YzA1LThlYTktNDJjYTU5NDFiMDUxXkEyXkFqcGdeQXVyMTUzNjEwNjM2._V1_Ratio0.8019_AL_.jpg,"Atlee (director), Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",7.1,77724
tt29536228,53,+212,EXmas,EXmas (2023),2023,https://m.media-amazon.com/images/M/MV5BMjMyMGE1NzUtNmJiOC00NmVmLThiYjctYmEyNmY2MmZlNTc3XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_Ratio0.6763_AL_.jpg,"Jonah Feingold (director), Leighton Meester, Robbie Amell, Michael Hitchcock, Kathryn Greenwood",5.7,2250
tt13274016,54,-14,Reptile,Reptile (2023),2023,https://m.media-amazon.com/images/M/MV5BMTA0MmNhNzUtZjVhNC00MmM5LWExYzYtZmQ0ZWEwZTIxMGExXkEyXkFqcGdeQXVyODMyNDEyNjM@._V1_Ratio0.6763_AL_.jpg,"Grant Singer (director), Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",6.8,69019
tt14998742,55,-42,Rebel Moon: Part One - A Child of Fire,Rebel Moon: Part One - A Child of Fire (2023),2023,https://m.media-amazon.com/images/M/MV5BMjZmYjJlYzUtZWM1My00YmUxLTlkNjEtYmYwMzIzOWE5YmRiXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_Ratio0.6763_AL_.jpg,"Zack Snyder (director), Jena Malone, Sofia Boutella, Ed Skrein, Charlie Hunnam",,0
tt17009710,56,-21,Anatomy of a Fall,Anatomy of a Fall (2023),2023,https://m.media-amazon.com/images/M/MV5BMDBiYmRkNjUtYzc4My00NGFiLWE2NWUtMGU1ZDA1NTQ3ZjQwXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_Ratio0.6860_AL_.jpg,"Justine Triet (director), Sandra Hüller, Swann Arlaud, Milo Machado Graner, Antoine Reinartz",7.9,17281
tt7599146,57,-14,Sound of Freedom,Sound of Freedom (2023),2023,https://m.media-amazon.com/images/M/MV5BNTAwNWQ1ZjQtZDFmMC00YjNlLWFlNjItMjJlYzZkMjJlNzkyXkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_Ratio0.6763_AL_.jpg,"Alejandro Monteverde (director), Jim Caviezel, Mira Sorvino, Bill Camp, Cristal Aparicio",7.7,87212
tt10638522,58,-16,Talk to Me,Talk to Me (2022),2022,https://m.media-amazon.com/images/M/MV5BMmY5ZGE4NmUtZWI4OS00ZWJmLWFjMzgtOWUyZjI4NDg3Y2E5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6763_AL_.jpg,"Danny Philippou (director), Michael Philippou (director), Ari McCarthy, Hamish Phillips, Kit Erhart-Bruce, Sarah Brokensha",7.1,106612
tt0241527,59,+6,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone (2001),2001,https://m.media-amazon.com/images/M/MV5BNmQ0ODBhMjUtNDRhOC00MGQzLTk5MTAtZDliODg5NmU5MjZhXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_Ratio0.6860_AL_.jpg,"Chris Columbus (director), Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith",7.6,835206
tt11762114,60,-34,Mean Girls,Mean Girls (2024),2024,https://m.media-amazon.com/images/M/MV5BOTE4NDc5NGUtNmVmNy00MzU5LWE1MjktYzFhOTQyZTQ5MzBlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6763_AL_.jpg,"Samantha Jayne (director), Arturo Perez Jr. (director), Jon Hamm, Angourie Rice, Auli'i Cravalho, Tina Fey",,0
tt5608166,61,+132,Dashing Through the Snow,Dashing Through the Snow (2023),2023,https://m.media-amazon.com/images/M/MV5BYWExOTdjYWUtZmE5NS00NjVhLTkwZDUtMDgxNmZiMmI2ZDgxXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_Ratio0.6763_AL_.jpg,"Tim Story (director), Lil Rel Howery, Ludacris, Madison Skye Validum, Teyonah Parris",5.5,1680
tt0068646,62,0,The Godfather,The Godfather (1972),1972,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_Ratio0.7053_AL_.jpg,"Francis Ford Coppola (director), Marlon Brando, Al Pacino, James Caan, Diane Keaton",9.2,1969799
tt19406606,63,+131,The Shift,The Shift (2023),2023,https://m.media-amazon.com/images/M/MV5BYThkZWM2NGItNTNiNy00ZjQxLWFjZGUtMDMxN2JmOTI0NmIyXkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_Ratio0.6763_AL_.jpg,"Brock Heasley (director), Neal McDonough, Kristoffer Polaha, Sean Astin, Elizabeth Tabish",6.6,831
tt10366206,64,-9,John Wick: Chapter 4,John Wick: Chapter 4 (2023),2023,https://m.media-amazon.com/images/M/MV5BMDExZGMyOTMtMDgyYi00NGIwLWJhMTEtOTdkZGFjNmZiMTEwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_Ratio0.6763_AL_.jpg,"Chad Stahelski (director), Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick",7.7,303106
tt14160834,65,+106,Rustin,Rustin (2023),2023,https://m.media-amazon.com/images/M/MV5BZDc2MDIzYzAtOWUzZS00ZjJmLWE4ZGMtMWZlNDc2OTQ5NzFjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6763_AL_.jpg,"George C. Wolfe (director), Colman Domingo, Chris Rock, Glynn Turman, Aml Ameen",6.6,2492
tt0816692,66,-3,Interstellar,Interstellar (2014),2014,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.6763_AL_.jpg,"Christopher Nolan (director), Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",8.7,2019879
tt0170016,67,+63,How the Grinch Stole Christmas,How the Grinch Stole Christmas (2000),2000,https://m.media-amazon.com/images/M/MV5BNWNiNTczNzEtMjQyZC00MjFmLTkzMDMtODk4ZGMyZmE0N2E4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.6763_AL_.jpg,"Ron Howard (director), Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor",6.3,275870
